Line,Stop,Date,Score
1,8041,20210921,45.79
1,8051,20210906,68.21
1,8051,20210907,67.64
1,8051,20210908,45.63
1,8051,20210909,54.84
1,8051,20210910,56.82
1,8051,20210911,93.77
1,8051,20210912,84.73
1,8051,20210913,51.53
1,8051,20210914,53.89
1,8051,20210915,47.26
1,8051,20210916,50.79
1,8051,20210917,49.63
1,8051,20210918,92.83
1,8051,20210919,86.27
1,8051,20210920,55.34
1,8051,20210921,48.17
1,8051,20210906,76.9
1,8051,20210907,85.93
1,8051,20210908,79.97
1,8051,20210909,69.78
1,8051,20210910,77.92
1,8051,20210911,96.17
1,8051,20210912,75.22
1,8051,20210913,76.85
1,8051,20210914,81.57
1,8051,20210915,82.83
1,8051,20210916,78.95
1,8051,20210917,76.68
1,8051,20210918,89.85
1,8051,20210919,77.82
1,8051,20210920,50.2
1,8051,20210921,46.58
1,8061,20210906,66.63
1,8061,20210907,66.26
1,8061,20210908,45.26
1,8061,20210909,62.46
1,8061,20210910,57.6
1,8061,20210911,92.91
1,8061,20210912,81.52
1,8061,20210913,59.23
1,8061,20210914,57.17
1,8061,20210915,50.49
1,8061,20210916,54.24
1,8061,20210917,42.99
1,8061,20210918,91.11
1,8061,20210919,87.21
1,8061,20210920,43.5
1,8061,20210921,49.6
1,8061,20210906,77.49
1,8061,20210907,87.51
1,8061,20210908,78.68
1,8061,20210909,69.54
1,8061,20210910,76.06
1,8061,20210911,92.87
1,8061,20210912,74.29
1,8061,20210913,83.11
1,8061,20210914,83.82
1,8061,20210915,81.27
1,8061,20210916,82.15
1,8061,20210917,66.4
1,8061,20210918,90.19
1,8061,20210919,76.69
1,8061,20210920,51.74
1,8061,20210921,49.34
1,8071,20210906,66.08
1,8071,20210907,69.32
1,8071,20210908,46.23
1,8071,20210909,63.7
1,8071,20210910,57.75
1,8071,20210911,93.17
1,8071,20210912,89.18
1,8071,20210913,60.85
1,8071,20210914,49.98
1,8071,20210915,53.34
1,8071,20210916,54.23
1,8071,20210917,47.0
1,8071,20210918,90.44
1,8071,20210919,90.39
1,8071,20210920,62.58
1,8071,20210921,47.61
1,8071,20210906,78.11
1,8071,20210907,87.04
1,8071,20210908,80.16
1,8071,20210909,72.28
1,8071,20210910,80.67
1,8071,20210911,93.27
1,8071,20210912,76.32
1,8071,20210913,84.65
1,8071,20210914,79.2
1,8071,20210915,85.09
1,8071,20210916,81.69
1,8071,20210917,64.77
1,8071,20210918,90.53
1,8071,20210919,90.6
1,8071,20210920,47.29
1,8071,20210921,45.56
1,8271,20210906,64.82
1,8271,20210907,67.78
1,8271,20210908,50.87
1,8271,20210909,65.52
1,8271,20210910,52.56
1,8271,20210911,91.77
1,8271,20210912,81.11
1,8271,20210913,61.93
1,8271,20210914,50.31
1,8271,20210915,44.21
1,8271,20210916,51.91
1,8271,20210917,58.66
1,8271,20210918,90.18
1,8271,20210919,91.63
1,8271,20210920,51.73
1,8271,20210921,45.94
1,8271,20210906,75.41
1,8271,20210907,85.07
1,8271,20210908,76.54
1,8271,20210909,72.16
1,8271,20210910,83.02
1,8271,20210911,90.38
1,8271,20210912,73.43
1,8271,20210913,85.58
1,8271,20210914,81.97
1,8271,20210915,80.7
1,8271,20210916,80.4
1,8271,20210917,73.04
1,8271,20210918,89.84
1,8271,20210919,92.42
1,8271,20210920,35.95
1,8271,20210921,34.11
1,8281,20210906,64.44
1,8281,20210907,66.89
1,8281,20210908,49.51
1,8281,20210909,61.48
1,8281,20210910,55.84
1,8281,20210911,93.97
1,8281,20210912,75.79
1,8281,20210913,44.53
1,8281,20210914,42.33
1,8281,20210915,42.08
1,8281,20210916,51.09
1,8281,20210917,43.94
1,8281,20210918,90.44
1,8281,20210919,91.98
1,8281,20210920,51.09
1,8281,20210921,43.46
1,8281,20210906,74.84
1,8281,20210907,87.29
1,8281,20210908,78.16
1,8281,20210909,63.94
1,8281,20210910,80.51
1,8281,20210911,94.31
1,8281,20210912,80.38
1,8281,20210913,74.62
1,8281,20210914,77.75
1,8281,20210915,78.13
1,8281,20210916,82.7
1,8281,20210917,70.37
1,8281,20210918,92.7
1,8281,20210919,87.99
1,8281,20210920,32.93
1,8281,20210921,33.93
1,8291,20210906,67.08
1,8291,20210907,64.71
1,8291,20210908,50.71
1,8291,20210909,62.81
1,8291,20210910,58.83
1,8291,20210911,91.97
1,8291,20210912,87.6
1,8291,20210913,61.08
1,8291,20210914,51.12
1,8291,20210915,47.86
1,8291,20210916,48.04
1,8291,20210917,56.18
1,8291,20210918,90.07
1,8291,20210919,89.22
1,8291,20210920,61.26
1,8291,20210921,44.54
1,8291,20210906,72.43
1,8291,20210907,86.98
1,8291,20210908,83.21
1,8291,20210909,70.39
1,8291,20210910,80.69
1,8291,20210911,94.18
1,8291,20210912,65.03
1,8291,20210913,83.16
1,8291,20210914,83.73
1,8291,20210915,75.22
1,8291,20210916,81.59
1,8291,20210917,65.34
1,8291,20210918,91.95
1,8291,20210919,89.68
1,8291,20210920,48.75
1,8291,20210921,36.12
1,8731,20210906,70.23
1,8731,20210907,55.51
1,8731,20210908,64.02
1,8731,20210909,61.63
1,8731,20210910,66.28
1,8731,20210911,93.03
1,8731,20210912,90.79
1,8731,20210913,62.23
1,8731,20210914,55.55
1,8731,20210915,60.7
1,8731,20210916,48.46
1,8731,20210917,56.37
1,8731,20210918,90.49
1,8731,20210919,77.86
1,8731,20210920,55.35
1,8731,20210921,45.86
1,8731,20210906,68.32
1,8731,20210907,79.96
1,8731,20210908,41.42
1,8731,20210909,64.7
1,8731,20210910,53.3
1,8731,20210911,93.59
1,8731,20210912,74.75
1,8731,20210913,77.09
1,8731,20210914,55.04
1,8731,20210915,70.26
1,8731,20210916,72.46
1,8731,20210917,32.79
1,8731,20210918,85.37
1,8731,20210919,89.5
1,8731,20210920,50.78
1,8731,20210921,27.74
1,8741,20210906,65.43
1,8741,20210907,65.3
1,8741,20210908,50.1
1,8741,20210909,61.85
1,8741,20210910,55.4
1,8741,20210911,95.05
1,8741,20210912,75.29
1,8741,20210913,55.56
1,8741,20210914,52.67
1,8741,20210915,43.04
1,8741,20210916,49.78
